"p_val"	"avg_log2FC"	"pct.1"	"pct.2"	"p_val_adj"	"cluster"	"gene"
"MALAT1"	2.55303733660599e-47	0.837502474323667	1	1	6.78163307722649e-43	"0"	"MALAT1"
"TRBC2"	1.76557129348275e-12	0.533568210996854	0.995	0.993	4.68988702687822e-08	"0"	"TRBC2"
"FAIM3"	1.65198055031706e-10	1.07520197222287	0.707	0.603	4.38815593580721e-06	"0"	"FAIM3"
"RP11-153M3.1"	6.14159992187214e-10	1.48067873544639	0.135	0.283	1.6313931872469e-05	"0"	"RP11-153M3.1"
"TRAC"	1.36680158440358e-09	0.47480617073303	0.975	0.953	3.63063504865123e-05	"0"	"TRAC"
"FOXP3"	2.05680812322694e-09	0.924632638954737	0.555	0.358	5.46349941772771e-05	"0"	"FOXP3"
"SEMA4D"	2.1270229066503e-09	0.379038124613475	0.375	0.591	5.65001094693518e-05	"0"	"SEMA4D"
"RTKN2"	2.14514257691863e-09	1.70216606994159	0.415	0.268	5.69814222706897e-05	"0"	"RTKN2"
"DGKZ"	2.61709768476689e-08	0.314118615445805	0.169	0.322	0.000695179658004629	"0"	"DGKZ"
"SAT1"	4.36577621225714e-08	0.679284798212215	0.88	0.847	0.00115968113526186	"0"	"SAT1"
"PIPSL"	5.26623797977665e-08	1.67637402965977	0.16	0.294	0.00139887079456807	"0"	"PIPSL"
"GCN1L1"	1.89817857263534e-07	0.468557987283745	0.12	0.25	0.00504213174249127	"0"	"GCN1L1"
"ARHGDIA"	2.48138618376835e-07	0.290350453253762	0.438	0.617	0.00659130611994388	"0"	"ARHGDIA"
"NOTCH2NL"	5.27071154223932e-07	0.275140212942416	0.289	0.456	0.0140005910696503	"0"	"NOTCH2NL"
"SMU1"	7.24526960379244e-07	0.307860328336611	0.312	0.475	0.0192456096485539	"0"	"SMU1"
"TIGIT"	7.35788272405407e-07	0.912542811591891	0.745	0.706	0.0195447438799048	"0"	"TIGIT"
"HNRNPH1"	1.3266679459444e-06	0.423810834122566	0.996	1	0.035240280648121	"0"	"HNRNPH1"
"PBXIP1"	1.54300973766978e-06	1.09097444277134	0.826	0.76	0.0409869676617223	"0"	"PBXIP1"
"HLA-E"	1.64396545613195e-06	0.465425321288951	0.996	1	0.0436686544112329	"0"	"HLA-E"
"KPNA6"	1.83168113191178e-06	0.268886977709609	0.307	0.449	0.0486549459069726	"0"	"KPNA6"
"NUPL1"	1.83523374812581e-06	0.270280921913947	0.268	0.431	0.0487493140514658	"0"	"NUPL1"
"TROVE2"	2.75301733361275e-06	0.315066676656329	0.348	0.515	0.0731283994327556	"0"	"TROVE2"
"PITRM1"	3.1686937183474e-06	0.258039126058419	0.149	0.268	0.0841700112404619	"0"	"PITRM1"
"ITM2B"	3.20285633535925e-06	0.679555806215145	0.776	0.81	0.0850774728361477	"0"	"ITM2B"
"TSC22D4"	3.21262185889482e-06	0.443851371068007	0.138	0.257	0.085336874437823	"0"	"TSC22D4"
"FTL"	3.46261242129487e-06	0.686494448252787	0.874	0.922	0.0919773737468556	"0"	"FTL"
"ARCN1"	4.29675031917872e-06	0.34147968462241	0.237	0.395	0.114134578728344	"0"	"ARCN1"
"RBM19"	5.51767924300973e-06	0.285609227414934	0.285	0.44	0.146566113732068	"0"	"RBM19"
"NBEAL1"	7.37689024235275e-06	0.304264218549998	0.797	0.918	0.195952335507616	"0"	"NBEAL1"
"XRN2"	9.05840127141895e-06	0.280362237889607	0.257	0.407	0.240618312972702	"0"	"XRN2"
"NUP153"	9.59154613163866e-06	0.354174574247293	0.142	0.254	0.254780239894718	"0"	"NUP153"
"HARS"	1.22204423273569e-05	0.502114397143979	0.154	0.28	0.324611609541582	"0"	"HARS"
"UGP2"	1.23108324638193e-05	1.22271098585221	0.481	0.4	0.327012642736432	"0"	"UGP2"
"ACTBP2"	1.69849888481689e-05	0.720275000657347	0.528	0.659	0.451172258773911	"0"	"ACTBP2"
"BZW1P2"	1.71641260176812e-05	0.319563334436439	0.196	0.32	0.455930679407667	"0"	"BZW1P2"
"ITGB1P1"	1.73874954495616e-05	0.500629310415837	0.162	0.277	0.461864041626706	"0"	"ITGB1P1"
"TP53"	1.7440312386784e-05	0.293030148392324	0.217	0.341	0.463267017930145	"0"	"TP53"
"CCAR1"	1.75950267902153e-05	0.298438020420564	0.257	0.4	0.467376696628488	"0"	"CCAR1"
"PDPK1"	1.82138693195024e-05	0.417513660371284	0.153	0.263	0.483815010733941	"0"	"PDPK1"
"ATP6V1F"	1.82306274758111e-05	0.327477633466504	0.21	0.36	0.48426015763997	"0"	"ATP6V1F"
"PRPF40A"	1.87963428870656e-05	0.260452043263051	0.248	0.386	0.499287256109123	"0"	"PRPF40A"
"TOP2B"	1.94174684127672e-05	0.756674835015927	0.219	0.35	0.515786213448335	"0"	"TOP2B"
"TBC1D4"	1.97093891989611e-05	1.19634540562455	0.56	0.471	0.523540505292004	"0"	"TBC1D4"
"RP11-204C16.4"	1.9731752881437e-05	0.409490239486734	0.801	0.903	0.524134551789611	"0"	"RP11-204C16.4"
"KB-1208A12.3"	2.02135917241208e-05	0.287302457647842	0.165	0.27	0.536933636967821	"0"	"KB-1208A12.3"
"SNX9"	2.16435190706027e-05	0.430873843311662	0.244	0.37	0.574916797072419	"0"	"SNX9"
"WNK1"	2.35135828632672e-05	0.408033551544724	0.596	0.743	0.624591301596967	"0"	"WNK1"
"CHD4"	2.41985504434587e-05	0.51434588796306	0.305	0.461	0.642786095429592	"0"	"CHD4"
"TLN1"	2.47102395146098e-05	0.383671454466679	0.321	0.45	0.65637809222658	"0"	"TLN1"
"USP39"	2.68100117055179e-05	0.336180589967885	0.205	0.336	0.712154340933672	"0"	"USP39"
"NPM1P27"	2.73627127019112e-05	1.05367441015517	0.546	0.711	0.726835737500868	"0"	"NPM1P27"
"RC3H1"	2.78035254364163e-05	0.417519022096359	0.524	0.72	0.738545046167527	"0"	"RC3H1"
"DPF2"	3.15923708658504e-05	0.265617766061343	0.212	0.35	0.839188147309583	"0"	"DPF2"
"PSD4"	3.18724104024885e-05	0.539428781665656	0.282	0.421	0.846626837521301	"0"	"PSD4"
"MED12"	3.2434087359245e-05	0.501165340983608	0.194	0.313	0.861546662523624	"0"	"MED12"
"SPN"	3.3927150995431e-05	0.343914014453041	0.248	0.386	0.901206911891634	"0"	"SPN"
"BRD4"	3.46080653478981e-05	0.311530710010438	0.296	0.416	0.919294039836216	"0"	"BRD4"
"PROSER1"	3.87054568095905e-05	0.706370632026523	0.187	0.299	1	"0"	"PROSER1"
"PFDN1"	3.89000851590875e-05	0.365322854050723	0.171	0.299	1	"0"	"PFDN1"
"ARNT"	4.06013896686719e-05	0.561638552644014	0.219	0.343	1	"0"	"ARNT"
"UBR5"	4.10409453030961e-05	0.549829711303676	0.183	0.297	1	"0"	"UBR5"
"SRPK1"	4.27517566814382e-05	0.351900249946782	0.176	0.296	1	"0"	"SRPK1"
"SRRT"	4.3558190703865e-05	0.548784691023572	0.206	0.323	1	"0"	"SRRT"
"INTS3"	4.45255829752387e-05	0.635339050635949	0.176	0.28	1	"0"	"INTS3"
"IKZF1"	4.47058954004627e-05	0.265307795482146	0.409	0.577	1	"0"	"IKZF1"
"PLEC"	4.72785363142516e-05	0.276546598395139	0.287	0.426	1	"0"	"PLEC"
"SREBF2"	4.77538629503502e-05	0.642102976489528	0.246	0.372	1	"0"	"SREBF2"
"AP1G1"	4.85587689561483e-05	0.487270844851079	0.497	0.63	1	"0"	"AP1G1"
"IL10RA"	5.12337840761816e-05	1.0354553653898	0.646	0.588	1	"0"	"IL10RA"
"NUP188"	5.26632807773007e-05	0.696694434631667	0.246	0.374	1	"0"	"NUP188"
"RNF34"	5.35934205191369e-05	0.308325760619349	0.215	0.343	1	"0"	"RNF34"
"KPNA1"	5.39198349427414e-05	0.559269542722475	0.187	0.292	1	"0"	"KPNA1"
"ABCG1"	5.41754566352268e-05	0.317368950268454	0.19	0.304	1	"0"	"ABCG1"
"MTDH"	5.61008717710783e-05	0.392102250078112	0.223	0.344	1	"0"	"MTDH"
"POLR3E"	5.63549011021055e-05	0.57662071704082	0.334	0.499	1	"0"	"POLR3E"
"RP11-282K24.1"	5.66266041565466e-05	0.782230101765006	0.149	0.25	1	"0"	"RP11-282K24.1"
"UBXN11"	5.79962875060506e-05	0.302082208796284	0.632	0.762	1	"0"	"UBXN11"
"FYTTD1"	5.97113827838475e-05	0.307341527062754	0.201	0.329	1	"0"	"FYTTD1"
"PRCC"	6.30239406009988e-05	0.514492715214532	0.217	0.33	1	"0"	"PRCC"
"DCP2"	6.3476962740844e-05	0.674775215808431	0.303	0.426	1	"0"	"DCP2"
"FAAH2"	6.44732803022756e-05	0.336211352151325	0.253	0.376	1	"0"	"FAAH2"
"USP9X"	6.60070516664739e-05	0.423884492327288	0.445	0.586	1	"0"	"USP9X"
"NDUFS2"	6.89038200677783e-05	0.563509005249799	0.18	0.304	1	"0"	"NDUFS2"
"DUSP1"	6.91006565000552e-05	0.722639648621094	0.858	0.87	1	"0"	"DUSP1"
"STRAP"	6.93902973104979e-05	0.267963857525089	0.303	0.443	1	"0"	"STRAP"
"ADAR"	7.65727298358673e-05	0.340598501231183	0.411	0.548	1	"0"	"ADAR"
"WI2-3658N16.1"	7.90091098732294e-05	0.442319767776937	0.368	0.51	1	"0"	"WI2-3658N16.1"
"VPS4B"	7.90435240204584e-05	0.303944351769951	0.149	0.256	1	"0"	"VPS4B"
"MAPRE1"	8.25644014936318e-05	0.31333090300526	0.298	0.437	1	"0"	"MAPRE1"
"KDM5C"	8.31507393334623e-05	0.336624909338227	0.214	0.323	1	"0"	"KDM5C"
"BDP1"	8.44860297419487e-05	0.302589391455137	0.241	0.367	1	"0"	"BDP1"
"CNP"	8.56944072396696e-05	0.385231433097099	0.201	0.32	1	"0"	"CNP"
"STK17B"	8.70289774546342e-05	0.546552894007755	0.959	0.969	1	"0"	"STK17B"
"PITPNM1"	8.78144536858682e-05	0.405540262301644	0.18	0.285	1	"0"	"PITPNM1"
"FUT8"	9.02885637991723e-05	0.250000061959202	0.208	0.32	1	"0"	"FUT8"
"CNPY2"	9.08736731263553e-05	0.338750327837138	0.183	0.308	1	"0"	"CNPY2"
"UBE2A"	0.000101814882335706	0.261376462931485	0.181	0.294	1	"0"	"UBE2A"
"CHFR"	0.000107960521865381	0.281608718513942	0.232	0.355	1	"0"	"CHFR"
"LARP4B"	0.000109299194422187	0.401466331605389	0.32	0.464	1	"0"	"LARP4B"
"RP11-345J4.8"	0.000112976566720553	0.652874635463501	0.185	0.296	1	"0"	"RP11-345J4.8"
"CSTB"	0.000112977607467178	0.484616446240373	0.278	0.442	1	"0"	"CSTB"
"TBC1D2B"	0.000113659730869193	0.371336828613446	0.158	0.257	1	"0"	"TBC1D2B"
"SNX22"	0.000127047265997743	2.36541760155173	0.172	0.28	1	"0"	"SNX22"
"GNAI3"	0.000129295262414029	0.252856997884768	0.165	0.275	1	"0"	"GNAI3"
"DDX39A"	0.000134134536376036	0.435424445616416	0.291	0.442	1	"0"	"DDX39A"
"DDX27"	0.000137559909204497	0.457627126313017	0.357	0.492	1	"0"	"DDX27"
"SEC22B"	0.000142134520644949	0.404971215385572	0.438	0.605	1	"0"	"SEC22B"
"FKBP8"	0.000151171135343724	0.507855317389836	0.208	0.318	1	"0"	"FKBP8"
"YEATS2"	0.000155643093879395	0.526834908123885	0.223	0.337	1	"0"	"YEATS2"
"FLOT2"	0.000164232045187183	0.330785096049548	0.251	0.379	1	"0"	"FLOT2"
"RP11-640M9.2"	0.000166904708406448	0.359838921168423	0.307	0.433	1	"0"	"RP11-640M9.2"
"R3HDM1"	0.000173380989914511	0.493099282203202	0.174	0.275	1	"0"	"R3HDM1"
"UQCRC2"	0.000176390372956296	0.316223897538	0.316	0.47	1	"0"	"UQCRC2"
"SF3A3"	0.000177977964087673	0.387783414773653	0.239	0.363	1	"0"	"SF3A3"
"ZC3H11A"	0.000178220358540445	0.374682206021337	0.307	0.426	1	"0"	"ZC3H11A"
"GRIPAP1"	0.000180431093418426	0.410260420164654	0.192	0.304	1	"0"	"GRIPAP1"
"KAT6B"	0.000187998582824965	0.4547522407405	0.224	0.343	1	"0"	"KAT6B"
"ARID1B"	0.000188967024780661	0.718862840438698	0.276	0.409	1	"0"	"ARID1B"
"DCTN1"	0.000201976817044082	0.265537105491475	0.226	0.348	1	"0"	"DCTN1"
"CARS"	0.00020764723984335	0.391003360505726	0.154	0.25	1	"0"	"CARS"
"PSMC1"	0.000213407356532778	0.331625231478712	0.239	0.377	1	"0"	"PSMC1"
"CDK11A"	0.00021913152520388	0.657880954712862	0.321	0.461	1	"0"	"CDK11A"
"SDR39U1"	0.000221025957739647	0.422085731084865	0.215	0.336	1	"0"	"SDR39U1"
"FCRL3"	0.000223811523534913	1.43861588530635	0.33	0.245	1	"0"	"FCRL3"
"LYST"	0.00022575292963727	0.341363838021199	0.531	0.694	1	"0"	"LYST"
"S100PBP"	0.000238900829312105	0.723776464869381	0.167	0.268	1	"0"	"S100PBP"
"ELF2"	0.000239868461211574	0.310312499608557	0.171	0.268	1	"0"	"ELF2"
"SNORD3A"	0.000245135701493969	0.348721193147076	0.178	0.278	1	"0"	"SNORD3A"
"WASF2"	0.000249630426891416	0.284530798830396	0.503	0.683	1	"0"	"WASF2"
"GGNBP2"	0.000250396720832328	0.410204230762146	0.253	0.369	1	"0"	"GGNBP2"
"RTCB"	0.000251050703929417	0.284548030559597	0.151	0.252	1	"0"	"RTCB"
"RPL5P4"	0.000252090047256062	1.27778415902783	0.395	0.52	1	"0"	"RPL5P4"
"NDUFA9"	0.000255869525037955	0.322441653815048	0.172	0.287	1	"0"	"NDUFA9"
"GNA13"	0.000280064434838986	0.367352432181939	0.201	0.306	1	"0"	"GNA13"
"ITPKB"	0.000287733451714076	0.323717920681132	0.282	0.397	1	"0"	"ITPKB"
"IP6K2"	0.000308791227207955	0.436365218868792	0.251	0.37	1	"0"	"IP6K2"
"KRR1"	0.00031925809269751	0.2975174722002	0.257	0.367	1	"0"	"KRR1"
"RP11-75L1.2"	0.000322554826999374	0.310717310467108	0.494	0.671	1	"0"	"RP11-75L1.2"
"ATP8A1"	0.000325178504525349	0.448304769077776	0.178	0.268	1	"0"	"ATP8A1"
"LRBA"	0.000326034586421973	0.432628991096802	0.321	0.437	1	"0"	"LRBA"
"DENR"	0.000338215001044933	0.439028769906068	0.219	0.344	1	"0"	"DENR"
"HNRNPD"	0.000340914392129874	0.726872051466456	0.399	0.567	1	"0"	"HNRNPD"
"PPP4R2"	0.000346691482467685	0.897802453108831	0.19	0.296	1	"0"	"PPP4R2"
"LAMP2"	0.000355795183791193	0.265644092498531	0.244	0.362	1	"0"	"LAMP2"
"BNIP2"	0.000359346464313346	0.493890690874792	0.264	0.388	1	"0"	"BNIP2"
"IQGAP1"	0.000376530333210477	0.451078575030765	0.618	0.788	1	"0"	"IQGAP1"
"EYA3"	0.000393043299434791	0.308827832422987	0.196	0.303	1	"0"	"EYA3"
"DENND4A"	0.000394603220866809	1.14386442133779	0.196	0.301	1	"0"	"DENND4A"
"DYNC1H1"	0.000396468021307023	0.510029897063227	0.311	0.431	1	"0"	"DYNC1H1"
"ARID2"	0.000399151008804905	0.256422115023184	0.345	0.47	1	"0"	"ARID2"
"AC004453.8"	0.000406869782628738	0.461914217285523	0.39	0.51	1	"0"	"AC004453.8"
"ADRM1"	0.000417731158149563	0.345396757387768	0.287	0.435	1	"0"	"ADRM1"
"NUTM2A-AS1"	0.000434264750335144	0.298960355654236	0.3	0.428	1	"0"	"NUTM2A-AS1"
"SCAMP3"	0.000446662170984187	0.270938985718425	0.219	0.334	1	"0"	"SCAMP3"
"ZFAND5"	0.000447319310783566	0.326857749293241	0.393	0.525	1	"0"	"ZFAND5"
"RBM6"	0.000448095043522653	0.972147994596416	0.684	0.678	1	"0"	"RBM6"
"SLC35A4"	0.000448597039460939	0.260949521566962	0.167	0.266	1	"0"	"SLC35A4"
"BTF3L4"	0.000468484766396425	0.384096392444334	0.196	0.299	1	"0"	"BTF3L4"
"TRIM13"	0.000477079912660804	0.698277217847176	0.205	0.311	1	"0"	"TRIM13"
"CHMP5"	0.000478089361419157	0.278812923909243	0.196	0.304	1	"0"	"CHMP5"
"NBPF12"	0.000480930466421947	0.629457656454769	0.282	0.391	1	"0"	"NBPF12"
"KAT6A"	0.000486223077479728	0.503804640904272	0.278	0.39	1	"0"	"KAT6A"
"AC120194.1"	0.000497414357078167	0.252502501862546	0.291	0.428	1	"0"	"AC120194.1"
"RAPGEF6"	0.000507533965313082	0.596477217827937	0.377	0.527	1	"0"	"RAPGEF6"
"IL32"	0.000508449999164022	0.330924035219571	0.93	0.951	1	"0"	"IL32"
"TSPAN14"	0.000513258589788084	0.258162502308117	0.492	0.643	1	"0"	"TSPAN14"
"GIMAP5"	0.000517938209650248	0.291450932424018	0.314	0.435	1	"0"	"GIMAP5"
"USP47"	0.00052014238116792	0.298296460849356	0.237	0.339	1	"0"	"USP47"
"RASSF3"	0.000528797119799633	0.535653783739908	0.232	0.343	1	"0"	"RASSF3"
"ZMYM6NB"	0.000536222060361749	0.31610250430845	0.162	0.263	1	"0"	"ZMYM6NB"
"ZNF207"	0.000559471313966693	0.294220288304182	0.478	0.645	1	"0"	"ZNF207"
"NBPF9"	0.000561264156017805	0.482337001602692	0.424	0.55	1	"0"	"NBPF9"
"ST6GALNAC6"	0.000568557641328382	0.53847112274099	0.302	0.433	1	"0"	"ST6GALNAC6"
"KDELR2"	0.000573298272201651	0.299192668252399	0.217	0.334	1	"0"	"KDELR2"
"DEK"	0.000575660484261598	0.33263623808767	0.329	0.471	1	"0"	"DEK"
"ZNF267"	0.000579562205585159	0.359113791979668	0.232	0.346	1	"0"	"ZNF267"
"TAOK3"	0.00059832987791186	0.31332006868333	0.25	0.357	1	"0"	"TAOK3"
"YME1L1"	0.000606999436019504	0.362496397137864	0.573	0.748	1	"0"	"YME1L1"
"KLF12"	0.000623151922798742	0.555527977554766	0.334	0.463	1	"0"	"KLF12"
"C1orf56"	0.000627769702466019	0.456161964669841	0.776	0.727	1	"0"	"C1orf56"
"TTN"	0.000648287112602587	1.50438983647345	0.47	0.388	1	"0"	"TTN"
"CTD-2636A23.2"	0.000667490296024438	0.33310215597795	0.16	0.252	1	"0"	"CTD-2636A23.2"
"NOL7"	0.000676625763123342	0.488522554114754	0.223	0.336	1	"0"	"NOL7"
"AC018720.10"	0.000696767765977225	0.816744856216721	0.641	0.649	1	"0"	"AC018720.10"
"MAP4K1"	0.000708071838881166	0.296491654369492	0.526	0.671	1	"0"	"MAP4K1"
"ROCK1"	0.000712085991296755	0.758171150695412	0.346	0.48	1	"0"	"ROCK1"
"NDUFS7"	0.000714509999686316	0.35161506042399	0.289	0.43	1	"0"	"NDUFS7"
"PPHLN1"	0.000717062666828845	0.338558590577382	0.282	0.391	1	"0"	"PPHLN1"
"RMND5A"	0.000742905583975024	0.557528871957047	0.18	0.268	1	"0"	"RMND5A"
"PSMB4"	0.00074601550441281	0.380727628187287	0.467	0.69	1	"0"	"PSMB4"
"AD000671.6"	0.000751047934392973	0.271606504088373	0.285	0.402	1	"0"	"AD000671.6"
"RPS11P5"	0.00075676096364363	1.33458778527353	0.203	0.311	1	"0"	"RPS11P5"
"SLC39A11"	0.000757131696117275	0.794461003719208	0.16	0.257	1	"0"	"SLC39A11"
"GTF2I"	0.000762856133974879	0.448270661487449	0.273	0.388	1	"0"	"GTF2I"
"TRAPPC2"	0.00076526957069563	0.473982398924218	0.251	0.37	1	"0"	"TRAPPC2"
"PRKCSH"	0.000766428143973272	0.310026813116261	0.366	0.483	1	"0"	"PRKCSH"
"RABGGTB"	0.000780028883294311	0.340459347713372	0.174	0.27	1	"0"	"RABGGTB"
"NR4A3"	0.000788249650788567	0.294093464670258	0.172	0.257	1	"0"	"NR4A3"
